"datum";"y";"m";"exc_id";"zone";"veg_aanw";"beh_typ";"brand2011";"h_gem";"sdev"
"7/06/2012";2012;6;"GB1";"Begraasd, A";"ja";"BGR";"nee";NA;7,928391
"7/06/2012";2012;6;"GB1";"Begraasd, D";"ja";"BGR";"nee";NA;14,28231
"17/06/2013";2013;6;"LV2";"Excl, Centrum";"ja";"EXC";"nee";NA;8,645808
"30/07/2012";2012;8;"GB2";"Excl, Centrum";"ja";"EXC";"nee";NA;8,557709
"17/06/2013";2013;6;"LV2";"Excl, zone A";"ja";"EXC";"nee";NA;12,71748
"30/07/2012";2012;8;"GB2";"Excl, zone A";"ja";"EXC";"nee";NA;14,95775
"17/06/2013";2013;6;"LV2";"Excl, zone B";"ja";"EXC";"nee";NA;11,09547
"30/07/2012";2012;8;"GB2";"Excl, zone B";"ja";"EXC";"nee";NA;23,53687
"17/06/2013";2013;6;"LV2";"Excl, zone C";"ja";"EXC";"nee";NA;3,897114
"30/07/2012";2012;8;"GB2";"Excl, zone C";"ja";"EXC";"nee";NA;17,48526
"17/06/2013";2013;6;"LV2";"Excl, zone D";"ja";"EXC";"nee";NA;10,78121
"30/07/2012";2012;8;"GB2";"Excl, zone D";"ja";"EXC";"nee";NA;25,64664
"17/06/2013";2013;6;"LV2";"Begraasd, C";"ja";"BGR";"nee";NA;8,944272
"30/07/2012";2012;8;"GB2";"Begraasd, A";"ja";"BGR";"nee";NA;8,343224
"17/06/2013";2013;6;"LV2";"Begraasd, A";"ja";"BGR";"nee";NA;4,240799
"30/07/2012";2012;8;"GB2";"Begraasd, B";"ja";"BGR";"nee";NA;18,39455
"17/06/2013";2013;6;"LV2";"Begraasd, B";"ja";"BGR";"nee";NA;5,348773
"30/07/2012";2012;8;"GB2";"Begraasd, C";"ja";"BGR";"nee";NA;7,175261
"17/06/2013";2013;6;"LV2";"Begraasd, D";"ja";"BGR";"nee";NA;3,733296
"30/07/2012";2012;8;"GB2";"Begraasd, D";"ja";"BGR";"nee";NA;6,689544
"17/06/2013";2013;6;"LV1";"Excl, Centrum";"ja";"EXC";"nee";NA;3,919104
"30/07/2012";2012;8;"GB1";"Excl, Centrum";"ja";"EXC";"nee";NA;4,935522
"17/06/2013";2013;6;"LV1";"Excl, zone A";"ja";"EXC";"nee";NA;7,372881
"30/07/2012";2012;8;"GB1";"Excl, zone A";"ja";"EXC";"nee";NA;15,71176
"17/06/2013";2013;6;"LV1";"Excl, zone B";"ja";"EXC";"nee";NA;22,4722
"30/07/2012";2012;8;"GB1";"Excl, zone B";"ja";"EXC";"nee";NA;18,01215
"17/06/2013";2013;6;"LV1";"Excl, zone C";"nee";"EXC";"nee";NA;20,13043
"30/07/2012";2012;8;"GB1";"Excl, zone C";"ja";"EXC";"nee";NA;16,58642
"17/06/2013";2013;6;"LV1";"Excl, zone D";"ja";"EXC";"nee";NA;20,21757
"30/07/2012";2012;8;"GB1";"Excl, zone D";"ja";"EXC";"nee";NA;21,2647
"17/06/2013";2013;6;"LV1";"Begraasd, A";"ja";"BGR";"nee";NA;1,83286
"30/07/2012";2012;8;"GB1";"Begraasd, A";"ja";"BGR";"nee";NA;15,58796
"17/06/2013";2013;6;"LV1";"Begraasd, B";"nee";"BGR";"nee";NA;13,08386
"30/07/2012";2012;8;"GB1";"Begraasd, B";"ja";"BGR";"nee";NA;23,97264
"17/06/2013";2013;6;"LV1";"Begraasd, C";"ja";"BGR";"nee";NA;6,855655
"30/07/2012";2012;8;"GB1";"Begraasd, C";"ja";"BGR";"nee";NA;0
"17/06/2013";2013;6;"LV1";"Begraasd, D";"ja";"BGR";"nee";NA;4,414111
"30/07/2012";2012;8;"GB1";"Begraasd, D";"ja";"BGR";"nee";NA;17,12774
"17/06/2013";2013;6;"WD2";"Excl, Centrum";"ja";"EXC";"nee";NA;3
"17/06/2013";2013;6;"WD2";"Excl, zone A";"ja";"EXC";"nee";NA;3,772847
"30/07/2012";2012;8;"LV2";"Excl, Centrum";"ja";"EXC";"nee";NA;6,72565
"17/06/2013";2013;6;"WD2";"Excl, zone B";"ja";"EXC";"nee";NA;6,613197
"30/07/2012";2012;8;"LV2";"Excl, zone A";"ja";"EXC";"nee";NA;19,26744
"17/06/2013";2013;6;"WD2";"Excl, zone C";"ja";"EXC";"nee";NA;0,9921567
"30/07/2012";2012;8;"LV2";"Excl, zone B";"ja";"EXC";"nee";NA;25,1567
"17/06/2013";2013;6;"WD2";"Excl, zone D";"nee";"EXC";"nee";NA;5,634714
"30/07/2012";2012;8;"LV2";"Excl, zone C";"ja";"EXC";"nee";NA;22,08365
"17/06/2013";2013;6;"WD2";"Begraasd, A";"nee";"BGR";"nee";NA;0
"30/07/2012";2012;8;"LV2";"Excl, zone D";"ja";"EXC";"nee";NA;25,87923
"17/06/2013";2013;6;"WD2";"Begraasd, B";"ja";"BGR";"nee";NA;2,52178
"30/07/2012";2012;8;"LV2";"Begraasd, D";"ja";"BGR";"nee";NA;26,74766
"17/06/2013";2013;6;"WD2";"Begraasd, C";"ja";"BGR";"nee";NA;2,58602
"30/07/2012";2012;8;"LV2";"Begraasd, C";"ja";"BGR";"nee";NA;21,37756
"17/06/2013";2013;6;"WD2";"Begraasd, D";"ja";"BGR";"nee";NA;7,693341
